




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	2854
GO biological process complete	Arabidopsis thaliana - REFLIST (27416)	upload_1 (287)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
response to acid chemical (GO:0001101)	397	16	4.16	+	3.85	2.14E-02
response to hormone (GO:0009725)	1241	49	12.99	+	3.77	8.21E-12
response to oxygen-containing compound (GO:1901700)	1514	59	15.85	+	3.72	1.25E-14
defense response to bacterium (GO:0042742)	414	16	4.33	+	3.69	3.53E-02
cellular response to hormone stimulus (GO:0032870)	492	19	5.15	+	3.69	5.44E-03
response to endogenous stimulus (GO:0009719)	1271	49	13.31	+	3.68	1.99E-11
response to inorganic substance (GO:0010035)	914	35	9.57	+	3.66	2.53E-07
response to abscisic acid (GO:0009737)	497	19	5.20	+	3.65	6.27E-03
response to salt stress (GO:0009651)	447	17	4.68	+	3.63	2.31E-02
response to alcohol (GO:0097305)	501	19	5.24	+	3.62	7.01E-03
response to chemical (GO:0042221)	2681	100	28.07	+	3.56	9.10E-27
interspecies interaction between organisms (GO:0044419)	1125	41	11.78	+	3.48	2.31E-08
cellular response to endogenous stimulus (GO:0071495)	524	19	5.49	+	3.46	1.31E-02
response to osmotic stress (GO:0006970)	528	19	5.53	+	3.44	1.45E-02
defense response to other organism (GO:0098542)	807	29	8.45	+	3.43	4.50E-05
response to lipid (GO:0033993)	672	24	7.03	+	3.41	9.22E-04
defense response (GO:0006952)	953	34	9.98	+	3.41	2.81E-06
response to external biotic stimulus (GO:0043207)	1097	39	11.48	+	3.40	1.60E-07
response to other organism (GO:0051707)	1097	39	11.48	+	3.40	1.60E-07
response to biotic stimulus (GO:0009607)	1098	39	11.49	+	3.39	1.64E-07
response to bacterium (GO:0009617)	508	18	5.32	+	3.38	3.16E-02
response to organic substance (GO:0010033)	1705	60	17.85	+	3.36	6.06E-13
response to external stimulus (GO:0009605)	1513	52	15.84	+	3.28	2.15E-10
response to abiotic stimulus (GO:0009628)	2131	71	22.31	+	3.18	8.98E-15
cellular response to stress (GO:0033554)	1120	36	11.72	+	3.07	1.26E-05
cellular response to organic substance (GO:0071310)	666	21	6.97	+	3.01	3.27E-02
response to stress (GO:0006950)	3106	95	32.51	+	2.92	7.04E-19
response to stimulus (GO:0050896)	5578	138	58.39	+	2.36	6.26E-22
cellular response to stimulus (GO:0051716)	2511	58	26.29	+	2.21	4.02E-05
Unclassified (UNCLASSIFIED)	5428	39	56.82	-	.69	0.00E00
macromolecule metabolic process (GO:0043170)	5496	28	57.53	-	.49	1.01E-02
cellular protein metabolic process (GO:0044267)	3388	13	35.47	-	.37	3.24E-02
nucleic acid metabolic process (GO:0090304)	1705	2	17.85	-	.11	1.48E-02
