




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	2854
GO biological process complete	Arabidopsis thaliana - REFLIST (27416)	upload_1 (190)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
cellular response to oxygen-containing compound (GO:1901701)	509	14	3.53	+	3.97	4.94E-02
cellular response to organic substance (GO:0071310)	666	18	4.62	+	3.90	3.81E-03
interspecies interaction between organisms (GO:0044419)	1125	30	7.80	+	3.85	1.09E-06
defense response (GO:0006952)	953	25	6.60	+	3.79	5.06E-05
response to chemical (GO:0042221)	2681	70	18.58	+	3.77	6.64E-20
response to external biotic stimulus (GO:0043207)	1097	28	7.60	+	3.68	1.15E-05
response to other organism (GO:0051707)	1097	28	7.60	+	3.68	1.15E-05
response to biotic stimulus (GO:0009607)	1098	28	7.61	+	3.68	1.17E-05
small molecule biosynthetic process (GO:0044283)	645	16	4.47	+	3.58	4.26E-02
defense response to other organism (GO:0098542)	807	20	5.59	+	3.58	3.53E-03
response to organic substance (GO:0010033)	1705	42	11.82	+	3.55	2.16E-09
cellular response to stress (GO:0033554)	1120	27	7.76	+	3.48	7.13E-05
response to external stimulus (GO:0009605)	1513	36	10.49	+	3.43	3.25E-07
oxoacid metabolic process (GO:0043436)	1016	24	7.04	+	3.41	6.59E-04
organic acid metabolic process (GO:0006082)	1019	24	7.06	+	3.40	6.95E-04
response to abiotic stimulus (GO:0009628)	2131	50	14.77	+	3.39	4.92E-11
response to stress (GO:0006950)	3106	70	21.53	+	3.25	2.28E-16
small molecule metabolic process (GO:0044281)	1520	29	10.53	+	2.75	2.59E-03
cellular response to stimulus (GO:0051716)	2511	44	17.40	+	2.53	2.61E-05
response to stimulus (GO:0050896)	5578	97	38.66	+	2.51	2.61E-17
Unclassified (UNCLASSIFIED)	5428	19	37.62	-	.51	0.00E00
macromolecule metabolic process (GO:0043170)	5496	15	38.09	-	.39	1.82E-02
cellular macromolecule metabolic process (GO:0044260)	4426	9	30.67	-	.29	6.25E-03
cellular protein metabolic process (GO:0044267)	3388	5	23.48	-	.21	1.02E-02
