




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	2854
GO biological process complete	Arabidopsis thaliana - REFLIST (27416)	upload_1 (543)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
response to other organism (GO:0051707)	1097	49	21.73	+	2.26	7.82E-04
response to biotic stimulus (GO:0009607)	1098	49	21.75	+	2.25	7.98E-04
response to abiotic stimulus (GO:0009628)	2131	94	42.21	+	2.23	2.62E-09
interspecies interaction between organisms (GO:0044419)	1125	49	22.28	+	2.20	1.86E-03
response to oxygen-containing compound (GO:1901700)	1514	65	29.99	+	2.17	4.29E-05
response to organic substance (GO:0010033)	1705	73	33.77	+	2.16	3.80E-06
regulation of biological quality (GO:0065008)	972	41	19.25	+	2.13	3.38E-02
response to stimulus (GO:0050896)	5578	234	110.48	+	2.12	6.75E-29
response to hormone (GO:0009725)	1241	49	24.58	+	1.99	2.93E-02
small molecule metabolic process (GO:0044281)	1520	60	30.11	+	1.99	2.10E-03
response to endogenous stimulus (GO:0009719)	1271	49	25.17	+	1.95	4.15E-02
Unclassified (UNCLASSIFIED)	5428	99	107.51	-	.92	0.00E00
primary metabolic process (GO:0044238)	7219	92	142.98	-	.64	9.61E-04
nitrogen compound metabolic process (GO:0006807)	6150	75	121.81	-	.62	1.89E-03
cellular macromolecule metabolic process (GO:0044260)	4426	39	87.66	-	.44	2.30E-06
macromolecule metabolic process (GO:0043170)	5496	44	108.85	-	.40	1.32E-10
cellular protein metabolic process (GO:0044267)	3388	23	67.10	-	.34	5.31E-07
protein metabolic process (GO:0019538)	3544	24	70.19	-	.34	1.37E-07
phosphate-containing compound metabolic process (GO:0006796)	1858	12	36.80	-	.33	6.40E-03
nucleobase-containing compound metabolic process (GO:0006139)	2093	13	41.45	-	.31	7.36E-04
protein modification process (GO:0036211)	2514	15	49.79	-	.30	1.67E-05
cellular protein modification process (GO:0006464)	2514	15	49.79	-	.30	1.67E-05
macromolecule modification (GO:0043412)	2832	15	56.09	-	.27	1.02E-07
organelle organization (GO:0006996)	1691	7	33.49	-	.21	1.42E-04
protein phosphorylation (GO:0006468)	1037	4	20.54	-	.19	4.91E-02
gene expression (GO:0010467)	1608	6	31.85	-	.19	1.12E-04
nucleic acid metabolic process (GO:0090304)	1705	5	33.77	-	.15	3.03E-06
RNA metabolic process (GO:0016070)	1294	3	25.63	-	.12	1.15E-04
intracellular transport (GO:0046907)	726	1	14.38	-	.07	4.39E-02
protein localization (GO:0008104)	732	1	14.50	-	.07	4.51E-02
establishment of localization in cell (GO:0051649)	769	1	15.23	-	.07	2.09E-02
